116	0
-24000	14000	24000	14000
-24000	-14000	24000	-14000
-24000	14000	-24000	-14000
24000	14000	24000	-14000
-17000	9000	-14000	9000
-17000	7000	-14000	7000
-17000	9000	-17000	7000
-14000	9000	-14000	7000
-12000	9000	-9000	9000
-12000	7000	-9000	7000
-12000	9000	-12000	7000
-9000	9000	-9000	7000
-7000	9000	-4000	9000
-7000	7000	-4000	7000
-7000	9000	-7000	7000
-4000	9000	-4000	7000
-2000	9000	1000	9000
-2000	7000	1000	7000
-2000	9000	-2000	7000
1000	9000	1000	7000
3000	9000	6000	9000
3000	7000	6000	7000
3000	9000	3000	7000
6000	9000	6000	7000
8000	9000	11000	9000
8000	7000	11000	7000
8000	9000	8000	7000
11000	9000	11000	7000
13000	9000	16000	9000
13000	7000	16000	7000
13000	9000	13000	7000
16000	9000	16000	7000
-17000	4000	-14000	4000
-17000	2000	-14000	2000
-17000	4000	-17000	2000
-14000	4000	-14000	2000
-12000	4000	-9000	4000
-12000	2000	-9000	2000
-12000	4000	-12000	2000
-9000	4000	-9000	2000
-7000	4000	-4000	4000
-7000	2000	-4000	2000
-7000	4000	-7000	2000
-4000	4000	-4000	2000
-2000	4000	1000	4000
-2000	2000	1000	2000
-2000	4000	-2000	2000
1000	4000	1000	2000
3000	4000	6000	4000
3000	2000	6000	2000
3000	4000	3000	2000
6000	4000	6000	2000
8000	4000	11000	4000
8000	2000	11000	2000
8000	4000	8000	2000
11000	4000	11000	2000
13000	4000	16000	4000
13000	2000	16000	2000
13000	4000	13000	2000
16000	4000	16000	2000
-17000	-2000	-14000	-1000
-17000	-4000	-14000	-3000
-17000	-2000	-17000	-3000
-14000	-2000	-14000	-3000
-12000	-2000	-9000	-1000
-12000	-4000	-9000	-3000
-12000	-2000	-12000	-3000
-9000	-2000	-9000	-3000
-7000	-2000	-4000	-1000
-7000	-4000	-4000	-3000
-7000	-2000	-7000	-3000
-4000	-2000	-4000	-3000
-2000	-2000	1000	-1000
-2000	-4000	1000	-3000
-2000	-2000	-2000	-3000
1000	-2000	1000	-3000
3000	-2000	6000	-1000
3000	-4000	6000	-3000
3000	-2000	3000	-3000
6000	-2000	6000	-3000
8000	-2000	11000	-1000
8000	-4000	11000	-3000
8000	-2000	8000	-3000
11000	-2000	11000	-3000
13000	-2000	16000	-1000
13000	-4000	16000	-3000
13000	-2000	13000	-3000
16000	-2000	16000	-3000
-17000	-7000	-14000	-6000
-17000	-9000	-14000	-8000
-17000	-7000	-17000	-8000
-14000	-7000	-14000	-8000
-12000	-7000	-9000	-6000
-12000	-9000	-9000	-8000
-12000	-7000	-12000	-8000
-9000	-7000	-9000	-8000
-7000	-7000	-4000	-6000
-7000	-9000	-4000	-8000
-7000	-7000	-7000	-8000
-4000	-7000	-4000	-8000
-2000	-7000	1000	-6000
-2000	-9000	1000	-8000
-2000	-7000	-2000	-8000
1000	-7000	1000	-8000
3000	-7000	6000	-6000
3000	-9000	6000	-8000
3000	-7000	3000	-8000
6000	-7000	6000	-8000
8000	-7000	11000	-6000
8000	-9000	11000	-8000
8000	-7000	8000	-8000
11000	-7000	11000	-8000
13000	-7000	16000	-6000
13000	-9000	16000	-8000
13000	-7000	13000	-8000
16000	-7000	16000	-8000
0

